Participant,Muscle,Load,RMS
Bharghav,Biceps,1kg,3.9549792e-05
Bharghav,Biceps,2kg,5.6061253e-05
Bharghav,Biceps,3kg,9.3517876e-05
Bharghav,Biceps,4kg,0.00013387507
Bharghav,Biceps,arm,1.5436406e-05
Bharghav,Biceps,baseline,3.5458074e-06
Bharghav,Brachioradialis,1kg,2.1007356e-05
Bharghav,Brachioradialis,2kg,4.7504385e-05
Bharghav,Brachioradialis,3kg,7.810228e-05
Bharghav,Brachioradialis,4kg,0.00010644166
Bharghav,Brachioradialis,arm,1.2599519e-05
Bharghav,Brachioradialis,baseline,7.3579563e-06
Hanif,Biceps,1kg,7.187815e-05
Hanif,Biceps,2kg,0.00010726219
Hanif,Biceps,3kg,0.00016878036
Hanif,Biceps,4kg,0.00026890094
Hanif,Biceps,arm,3.6302532e-05
Hanif,Biceps,baseline,4.6552823e-06
Hanif,Brachioradialis,1kg,2.1164036e-05
Hanif,Brachioradialis,2kg,2.7789933e-05
Hanif,Brachioradialis,3kg,4.1031897e-05
Hanif,Brachioradialis,4kg,6.0262697e-05
Hanif,Brachioradialis,arm,1.845741e-05
Hanif,Brachioradialis,baseline,1.7559732e-05
Sam,Biceps,1kg,3.518025e-05
Sam,Biceps,2kg,5.825198e-05
Sam,Biceps,3kg,8.024646e-05
Sam,Biceps,4kg,0.000109225904
Sam,Biceps,arm,2.4553301e-05
Sam,Biceps,baseline,1.8205985e-05
Sam,Brachioradialis,1kg,3.4190612e-05
Sam,Brachioradialis,2kg,5.699301e-05
Sam,Brachioradialis,3kg,6.4342836e-05
Sam,Brachioradialis,4kg,8.1526174e-05
Sam,Brachioradialis,arm,2.4768598e-05
Sam,Brachioradialis,baseline,1.7961062e-05
